iter	Logloss
0	0.6798918932
1	0.6694338886
2	0.6619634806
3	0.6549797757
4	0.6481583431
5	0.6445297766
6	0.6420101774
7	0.638022754
8	0.6362490604
9	0.6327181765
10	0.629787224
11	0.628242854
12	0.6264499923
13	0.6251385536
14	0.6232157098
15	0.6217844357
16	0.6202951892
17	0.6187244035
18	0.6178009154
19	0.6172084468
20	0.6160474606
21	0.615200003
22	0.6145801422
23	0.6137746403
24	0.6133046396
25	0.6124574687
26	0.6118520768
27	0.6110223863
28	0.6104092719
29	0.6097005825
30	0.6092206329
31	0.6089268924
32	0.6082108149
33	0.6077022554
34	0.6072725727
35	0.6068946748
36	0.6067512992
37	0.606569695
38	0.6062302431
39	0.6060118057
40	0.6056427115
41	0.6054220793
42	0.605069684
43	0.6046116555
44	0.6043415884
45	0.6042269218
46	0.6040279584
47	0.6038207119
48	0.6036288117
49	0.6034236375
50	0.6031997851
51	0.6020607307
52	0.6019991508
53	0.6017959596
54	0.601587304
55	0.6014996406
56	0.6013251236
57	0.6010243599
58	0.600837334
59	0.6007686645
60	0.6004753108
61	0.6003325674
62	0.6001580517
63	0.6000251902
64	0.599785909
65	0.5995771001
66	0.5994535716
67	0.5993316502
68	0.5991728
69	0.5989604185
70	0.5986639889
71	0.5985605741
72	0.598260497
73	0.5981804747
74	0.5976051594
75	0.5971364988
76	0.5970704439
77	0.5968373404
78	0.5966596977
79	0.5963974582
80	0.5963639971
81	0.596046672
82	0.5960414515
83	0.5959597339
84	0.595789985
85	0.5953046639
86	0.5951183599
87	0.595040873
88	0.5946609032
89	0.5945229835
90	0.5943438003
91	0.5942406247
92	0.5941460759
93	0.5939463408
94	0.5936714002
95	0.5933741404
96	0.5932277997
97	0.5931883454
98	0.5929846359
99	0.5928410893
100	0.592791351
101	0.592741509
102	0.5926164228
103	0.5924369947
104	0.5921351469
105	0.5920595513
106	0.5919032023
107	0.5918517808
108	0.5917507097
109	0.5914203225
110	0.5911962464
111	0.591138631
112	0.59096267
113	0.5908190232
114	0.5906681385
115	0.5904318003
116	0.5900078219
117	0.5897154671
118	0.5895854542
119	0.5882194389
120	0.5880919974
121	0.5878215082
122	0.5874640428
123	0.5871911101
124	0.5869820566
125	0.586853766
126	0.5866144276
127	0.5862825531
128	0.5861484143
129	0.586006494
130	0.5858664376
131	0.5857340696
132	0.585647114
133	0.5854647677
134	0.5844804549
135	0.5841034822
136	0.5839311337
137	0.5838320576
138	0.5837575486
139	0.5834274677
140	0.5823246063
141	0.5822279027
142	0.5820444292
143	0.5819264333
144	0.5817390151
145	0.5814524011
146	0.5813881332
147	0.5813240116
148	0.5812148439
149	0.5810584069
150	0.5809524198
151	0.5808877416
152	0.5807076216
153	0.5805024599
154	0.5803774929
155	0.5800896986
156	0.5799557337
157	0.5797465542
158	0.5795978355
159	0.5794073728
160	0.5791741894
161	0.5789972016
162	0.5788886521
163	0.5787888269
164	0.5787306809
165	0.5785308701
166	0.5783572141
167	0.5782957898
168	0.5781356383
169	0.5780270551
170	0.5777840427
171	0.5776496659
172	0.5774822259
173	0.5771491337
174	0.5770120326
175	0.5769320859
176	0.5767789071
177	0.576566136
178	0.5765202929
179	0.5764101051
180	0.5763353176
181	0.5761355443
182	0.5759719161
183	0.575926194
184	0.5757364207
185	0.575667267
186	0.5755641295
187	0.5754402836
188	0.5753610847
189	0.5752521351
190	0.5751230804
191	0.5750160267
192	0.5748722375
193	0.5747771802
194	0.5746716015
195	0.5745495405
196	0.5744337223
197	0.5743179396
198	0.5741554953
199	0.5734057769
200	0.5733386401
201	0.5732746605
202	0.5731863864
203	0.5730955887
204	0.573027059
205	0.5728248148
206	0.5726013188
207	0.5725309423
208	0.572463457
209	0.5720260373
210	0.5719398686
211	0.57189089
212	0.5718102182
213	0.571772645
214	0.571684325
215	0.5716592523
216	0.5714986864
217	0.5712911173
218	0.5712595202
219	0.5711066184
220	0.570885176
221	0.5708084583
222	0.5706944237
223	0.5706004258
224	0.5702859207
225	0.5702298681
226	0.5700492604
227	0.5699180086
228	0.5697823689
229	0.5697431956
230	0.5695914627
231	0.5695254979
232	0.5694359591
233	0.5693361023
234	0.5692977746
235	0.5692071091
236	0.5691589799
237	0.5691078021
238	0.5690838475
239	0.5690465084
240	0.5689626779
241	0.568836699
242	0.5686264091
243	0.5685594115
244	0.5684991734
245	0.5682403262
246	0.5681862619
247	0.5680879252
248	0.5679327185
249	0.5678172895
250	0.5676970452
251	0.5676286856
252	0.5672832912
253	0.5671148916
254	0.567019617
255	0.5669135206
256	0.5666455558
257	0.5666056166
258	0.5663690872
259	0.5663003196
260	0.5662305254
261	0.5659582387
262	0.5658735222
263	0.5657631621
264	0.5657018454
265	0.5656144443
266	0.5655211
267	0.5654493818
268	0.5654001637
269	0.5653380313
270	0.5652210704
271	0.5650808669
272	0.5649627129
273	0.5648022641
274	0.5647466663
275	0.5646411274
276	0.5645760406
277	0.564515086
278	0.5644739214
279	0.5642655655
280	0.564119638
281	0.5640244478
282	0.5639723864
283	0.5639222778
284	0.5638752631
285	0.563762721
286	0.5636721751
287	0.5635980141
288	0.5634342984
289	0.5633834977
290	0.5633201849
291	0.5631952174
292	0.5631469164
293	0.563053334
294	0.5628509626
295	0.5627239781
296	0.5625750056
297	0.5624945949
298	0.5623630989
299	0.5622526719
300	0.5621892177
301	0.5620966012
302	0.5619425219
303	0.5618964898
304	0.561815316
305	0.561779911
306	0.5616740104
307	0.5615698742
308	0.5615170066
309	0.5613951462
310	0.5613060779
311	0.5612564105
312	0.5611881145
313	0.5610865514
314	0.5609900851
315	0.5609115088
316	0.5608889098
317	0.5608129521
318	0.5603094896
319	0.5601693592
320	0.5601234529
321	0.5600487542
322	0.5599212956
323	0.5598529104
324	0.5597808834
325	0.5596690698
326	0.5595554387
327	0.5594250365
328	0.5593594539
329	0.5592950319
330	0.5592083616
331	0.5590875895
332	0.5590345376
333	0.5589024865
334	0.5588332507
335	0.5587910522
336	0.5587181846
337	0.5586252233
338	0.5584508875
339	0.5582153267
340	0.5581398717
341	0.55753957
342	0.5574761964
343	0.5574280431
344	0.5573805123
345	0.5572459731
346	0.5571161604
347	0.557062888
348	0.5570044527
349	0.5569442839
350	0.5569193224
351	0.556773894
352	0.5567248896
353	0.5566111236
354	0.556566433
355	0.5564799705
356	0.5564335582
357	0.5563463126
358	0.5562917539
359	0.55625738
360	0.5562365802
361	0.556161873
362	0.556064463
363	0.5559851173
364	0.555936355
365	0.5558340176
366	0.5557664737
367	0.5555788255
368	0.5554815896
369	0.5554504217
370	0.5554177889
371	0.5553103576
372	0.5552800632
373	0.5552494213
374	0.5551455392
375	0.5550760397
376	0.555021826
377	0.5549843784
378	0.5549299739
379	0.5548748462
380	0.5548161288
381	0.5547630995
382	0.5546897405
383	0.5546086867
384	0.5544945366
385	0.5543976411
386	0.5543212153
387	0.5542664818
388	0.5542498144
389	0.5541251044
390	0.5540725444
391	0.5540322923
392	0.5539075425
393	0.5538834342
394	0.5538179529
395	0.5537645498
396	0.5537335162
397	0.5536395227
398	0.5535463096
399	0.5535051615
400	0.5534315795
401	0.5533774575
402	0.5533196352
403	0.5532353475
404	0.5531269679
405	0.5530802849
406	0.5530255504
407	0.5529832575
408	0.5528793337
409	0.5528407911
410	0.5528230881
411	0.5527181432
412	0.5525633027
413	0.5524938963
414	0.5524395881
415	0.5524330166
416	0.552385132
417	0.5523500793
418	0.5522151585
