iter	Passed	Remaining
0	3	5557
1	6	5178
2	8	4759
3	10	4612
4	13	4625
5	15	4516
6	18	4439
7	21	4489
8	23	4427
9	26	4411
10	28	4375
11	31	4411
12	33	4399
13	38	4578
14	40	4564
15	43	4597
16	46	4592
17	49	4623
18	52	4622
19	54	4614
20	57	4606
21	60	4584
22	62	4583
23	65	4566
24	68	4561
25	71	4586
26	74	4588
27	76	4587
28	79	4559
29	81	4563
30	84	4543
31	87	4541
32	89	4539
33	92	4539
34	95	4534
35	97	4524
36	100	4506
37	103	4510
38	105	4509
39	108	4512
40	111	4529
41	114	4539
42	117	4538
43	120	4546
44	123	4534
45	126	4532
46	128	4532
47	131	4516
48	133	4513
49	136	4517
50	139	4517
51	142	4518
52	144	4504
53	147	4506
54	150	4505
55	153	4498
56	155	4496
57	158	4495
58	161	4495
59	164	4492
60	166	4480
61	169	4476
62	172	4475
63	174	4467
64	177	4453
65	179	4440
66	182	4437
67	184	4435
68	187	4431
69	189	4419
70	192	4410
71	194	4408
72	197	4404
73	201	4420
74	204	4422
75	206	4414
76	208	4401
77	211	4392
78	213	4383
79	215	4369
80	220	4403
81	225	4450
82	231	4517
83	235	4526
84	240	4574
85	245	4612
86	249	4624
87	253	4640
88	258	4672
89	263	4712
90	267	4738
91	272	4762
92	277	4790
93	279	4779
94	282	4771
95	284	4756
96	287	4749
97	289	4734
98	292	4727
99	295	4720
100	297	4715
101	300	4712
102	303	4705
103	306	4698
104	308	4685
105	311	4682
106	313	4669
107	316	4666
108	319	4662
109	321	4652
110	324	4641
111	327	4642
112	329	4629
113	332	4623
114	334	4613
115	337	4609
116	339	4599
117	342	4591
118	345	4587
119	348	4583
120	350	4579
121	353	4571
122	355	4562
123	358	4555
124	361	4552
125	363	4543
126	366	4535
127	368	4527
128	371	4523
129	374	4517
130	376	4513
131	379	4508
132	382	4504
133	385	4500
134	387	4497
135	390	4493
136	393	4489
137	396	4484
138	398	4480
139	401	4471
140	404	4468
141	406	4462
142	409	4458
143	412	4452
144	414	4443
145	417	4439
146	419	4435
147	422	4431
148	425	4427
149	427	4422
150	430	4413
151	432	4408
152	435	4404
153	438	4400
154	441	4396
155	443	4392
156	446	4390
157	449	4384
158	451	4379
159	454	4371
160	456	4366
161	459	4359
162	461	4354
163	464	4350
164	467	4345
165	469	4339
166	472	4334
167	474	4329
168	477	4324
169	480	4320
170	482	4312
171	484	4305
172	487	4305
173	490	4299
174	493	4296
175	496	4297
176	499	4295
177	502	4292
178	504	4289
179	507	4285
180	510	4282
181	512	4275
182	515	4271
183	518	4268
184	520	4265
185	523	4261
186	525	4255
187	528	4251
188	531	4248
189	533	4241
190	536	4235
191	538	4227
192	543	4244
193	546	4241
194	549	4239
195	552	4241
196	555	4236
197	557	4229
198	559	4223
199	562	4220
200	565	4217
201	568	4217
202	571	4213
203	574	4209
204	576	4206
205	579	4201
206	581	4193
207	584	4190
208	586	4186
209	589	4182
210	592	4177
211	594	4173
212	597	4169
213	599	4165
214	602	4161
215	605	4157
216	607	4153
217	609	4146
218	612	4143
219	615	4139
220	618	4137
221	620	4134
222	623	4130
223	626	4127
224	629	4124
225	631	4120
226	634	4115
227	636	4112
228	639	4105
229	641	4101
230	644	4097
231	646	4093
232	649	4090
233	652	4087
234	654	4082
235	657	4078
236	660	4075
237	662	4071
238	665	4068
239	668	4065
240	670	4060
241	673	4057
242	676	4053
243	678	4049
244	680	4044
245	683	4040
246	686	4036
247	688	4032
248	691	4026
249	693	4023
250	696	4020
251	699	4017
252	701	4014
253	704	4009
254	706	4004
255	709	4000
256	712	3998
257	714	3995
258	717	3992
259	720	3988
260	722	3984
261	725	3981
262	728	3979
263	730	3975
264	733	3971
265	736	3968
266	738	3963
267	741	3959
268	743	3955
269	746	3952
270	749	3950
271	751	3945
272	753	3940
273	756	3935
274	758	3931
275	760	3925
276	764	3926
277	767	3924
278	769	3920
279	772	3917
280	775	3915
281	777	3911
282	780	3907
283	783	3904
284	785	3900
285	787	3894
286	790	3890
287	792	3886
288	795	3883
289	798	3880
290	800	3875
291	802	3871
292	805	3869
293	808	3865
294	812	3871
295	815	3870
296	818	3867
297	821	3863
298	823	3860
299	826	3857
300	829	3854
301	832	3852
302	834	3849
303	837	3846
304	840	3842
305	842	3840
306	845	3837
307	848	3834
308	851	3831
309	853	3826
310	856	3823
311	858	3820
312	861	3818
313	864	3815
314	867	3812
315	869	3809
316	872	3806
317	875	3802
318	877	3799
319	880	3795
320	882	3792
321	885	3789
322	888	3785
323	890	3783
324	895	3789
325	899	3791
326	903	3795
327	910	3809
328	915	3816
329	919	3816
330	922	3813
331	924	3808
332	927	3806
333	929	3802
334	932	3798
335	934	3794
336	937	3791
337	939	3787
338	942	3784
339	945	3781
340	948	3778
341	950	3775
342	953	3772
343	956	3770
344	959	3767
345	962	3765
346	964	3759
347	966	3754
348	969	3751
349	971	3747
350	974	3743
351	976	3739
352	979	3736
353	981	3733
354	984	3730
355	987	3727
356	990	3724
357	992	3720
358	995	3717
359	997	3712
360	999	3709
361	1002	3705
362	1005	3702
363	1008	3700
364	1010	3697
365	1013	3692
366	1015	3689
367	1019	3688
368	1022	3688
369	1025	3687
370	1028	3684
371	1031	3681
372	1034	3679
373	1037	3677
374	1040	3674
375	1042	3670
376	1045	3667
377	1048	3665
378	1051	3665
379	1054	3661
380	1056	3658
381	1059	3655
382	1061	3651
383	1064	3647
384	1066	3643
385	1068	3638
386	1071	3633
387	1073	3630
388	1076	3626
389	1078	3621
390	1080	3618
391	1083	3615
392	1086	3612
393	1088	3609
394	1091	3606
395	1094	3603
396	1097	3600
397	1099	3598
398	1103	3598
399	1106	3596
400	1109	3595
401	1112	3593
402	1116	3593
403	1118	3589
404	1121	3585
405	1124	3582
406	1126	3579
407	1129	3577
408	1132	3574
409	1135	3571
410	1137	3568
411	1140	3565
412	1143	3561
413	1145	3558
414	1148	3554
415	1150	3551
416	1153	3548
417	1156	3545
418	1158	3542
419	1161	3540
420	1164	3537
421	1167	3534
422	1169	3532
423	1172	3529
424	1174	3524
425	1177	3522
426	1180	3519
427	1183	3516
428	1185	3513
429	1188	3510
430	1191	3507
431	1193	3504
432	1196	3501
433	1199	3498
434	1201	3494
435	1204	3492
436	1207	3489
437	1210	3486
438	1212	3483
439	1215	3480
440	1218	3477
441	1220	3475
442	1223	3470
443	1226	3469
444	1229	3467
445	1232	3465
446	1235	3463
447	1238	3461
448	1241	3458
449	1244	3455
450	1246	3452
451	1249	3449
452	1251	3445
453	1253	3441
454	1256	3438
455	1259	3435
456	1261	3432
457	1264	3429
458	1267	3426
459	1269	3422
460	1272	3419
461	1274	3416
462	1277	3412
463	1280	3409
464	1285	3413
465	1288	3411
466	1291	3409
467	1294	3407
468	1297	3404
469	1302	3409
470	1305	3407
471	1309	3407
472	1312	3405
473	1316	3404
474	1319	3403
475	1322	3401
476	1326	3400
477	1329	3397
478	1331	3394
479	1336	3395
480	1339	3393
481	1342	3392
482	1344	3388
483	1347	3385
484	1349	3381
485	1352	3377
486	1354	3374
487	1357	3371
488	1360	3368
489	1362	3365
490	1366	3363
491	1368	3361
492	1371	3358
493	1374	3354
494	1376	3351
495	1379	3348
496	1382	3345
497	1385	3343
498	1387	3340
499	1390	3337
500	1393	3334
501	1397	3334
502	1399	3331
503	1402	3328
504	1405	3325
505	1409	3325
506	1412	3322
507	1414	3319
508	1417	3316
509	1420	3313
510	1422	3310
511	1425	3307
512	1428	3304
513	1430	3301
514	1433	3297
515	1435	3294
516	1438	3292
517	1441	3289
518	1444	3286
519	1446	3283
520	1449	3281
521	1452	3278
522	1454	3274
523	1457	3271
524	1460	3268
525	1462	3264
526	1465	3262
527	1469	3262
528	1473	3262
529	1479	3265
530	1484	3268
531	1487	3265
532	1489	3261
533	1492	3258
534	1494	3255
535	1497	3252
536	1500	3249
537	1503	3246
538	1505	3243
539	1508	3239
540	1510	3237
541	1513	3234
542	1516	3231
543	1519	3228
544	1524	3231
545	1530	3235
546	1535	3237
547	1541	3239
548	1546	3242
549	1551	3244
550	1554	3241
551	1556	3237
552	1559	3234
553	1562	3231
554	1564	3228
555	1567	3225
556	1572	3226
557	1575	3223
558	1577	3220
559	1580	3217
560	1583	3214
561	1586	3211
562	1589	3209
563	1593	3209
564	1595	3206
565	1598	3201
566	1600	3198
567	1603	3195
568	1606	3192
569	1609	3190
570	1611	3187
571	1614	3183
572	1617	3181
573	1619	3177
574	1622	3174
575	1625	3171
576	1627	3168
577	1630	3164
578	1633	3161
579	1635	3159
580	1638	3155
581	1641	3152
582	1643	3149
583	1646	3146
584	1648	3142
585	1651	3139
586	1654	3136
587	1656	3133
588	1659	3130
589	1662	3127
590	1664	3123
591	1667	3120
592	1670	3117
593	1672	3114
594	1675	3111
595	1678	3108
596	1680	3104
597	1683	3101
598	1685	3098
599	1688	3095
600	1691	3093
601	1694	3090
602	1696	3087
603	1699	3084
604	1702	3081
605	1704	3077
606	1707	3074
607	1710	3071
608	1712	3068
609	1715	3065
610	1717	3061
611	1720	3058
612	1724	3057
613	1726	3054
614	1729	3051
615	1732	3047
616	1734	3044
617	1737	3041
618	1739	3038
619	1742	3035
620	1745	3032
621	1748	3029
622	1750	3026
623	1753	3023
624	1756	3021
625	1759	3018
626	1761	3015
627	1764	3012
628	1767	3009
629	1770	3006
630	1772	3003
631	1775	3000
632	1778	2997
633	1781	2994
634	1783	2991
635	1786	2988
636	1789	2986
637	1792	2983
638	1794	2980
639	1797	2977
640	1800	2974
641	1803	2971
642	1805	2968
643	1808	2965
644	1811	2962
645	1814	2959
646	1816	2956
647	1820	2954
648	1822	2951
649	1825	2948
650	1828	2946
651	1831	2944
652	1835	2942
653	1838	2940
654	1841	2938
655	1844	2935
656	1847	2932
657	1850	2930
658	1852	2926
659	1855	2924
660	1858	2921
661	1861	2918
662	1863	2915
663	1866	2912
664	1870	2911
665	1872	2907
666	1875	2904
667	1878	2901
668	1880	2898
669	1883	2895
670	1886	2892
671	1889	2891
672	1892	2888
673	1895	2885
674	1898	2882
675	1901	2879
676	1903	2876
677	1906	2873
678	1908	2870
679	1911	2867
680	1914	2864
681	1916	2861
682	1919	2858
683	1922	2855
684	1924	2852
685	1927	2849
686	1930	2846
687	1933	2843
688	1935	2840
689	1938	2837
690	1941	2834
691	1943	2831
692	1946	2827
693	1948	2824
694	1951	2821
695	1953	2818
696	1956	2815
697	1958	2812
698	1961	2809
699	1964	2806
700	1967	2803
701	1969	2800
702	1972	2797
703	1975	2794
704	1977	2791
705	1980	2788
706	1982	2784
707	1985	2781
708	1988	2779
709	1991	2776
710	1993	2772
711	1996	2770
712	1998	2767
713	2001	2764
714	2004	2761
715	2007	2758
716	2010	2755
717	2013	2753
718	2016	2751
719	2019	2748
720	2022	2745
721	2025	2743
722	2027	2739
723	2030	2737
724	2032	2733
725	2035	2730
726	2038	2727
727	2040	2724
728	2043	2721
729	2046	2718
730	2048	2716
731	2051	2712
732	2054	2709
733	2056	2706
734	2059	2704
735	2062	2701
736	2065	2698
737	2067	2695
738	2070	2692
739	2072	2689
740	2075	2686
741	2078	2683
742	2080	2680
743	2083	2677
744	2086	2674
745	2089	2671
746	2091	2668
747	2094	2665
748	2097	2662
749	2099	2659
750	2102	2656
751	2105	2653
752	2107	2650
753	2111	2648
754	2113	2645
755	2116	2643
756	2119	2640
757	2123	2639
758	2127	2637
759	2130	2635
760	2133	2632
761	2136	2629
762	2139	2627
763	2142	2625
764	2145	2622
765	2149	2620
766	2162	2630
767	2173	2637
768	2178	2637
769	2181	2635
770	2186	2634
771	2200	2644
772	2203	2642
773	2206	2640
774	2210	2637
775	2213	2635
776	2215	2632
777	2219	2629
778	2222	2627
779	2225	2625
780	2228	2622
781	2231	2620
782	2235	2617
783	2238	2614
784	2241	2612
785	2244	2609
786	2247	2607
787	2250	2604
788	2253	2601
789	2256	2599
790	2259	2597
791	2262	2594
792	2265	2591
793	2269	2589
794	2272	2586
795	2275	2583
796	2278	2581
797	2281	2579
798	2284	2576
799	2287	2573
800	2290	2571
801	2293	2567
802	2296	2565
803	2299	2562
804	2302	2559
805	2305	2557
806	2308	2554
807	2312	2552
808	2315	2549
809	2318	2547
810	2321	2544
811	2324	2541
812	2327	2539
813	2330	2536
814	2333	2533
815	2336	2531
816	2339	2528
817	2342	2526
818	2345	2523
819	2349	2520
820	2352	2518
821	2355	2515
822	2358	2513
823	2361	2510
824	2364	2507
825	2368	2505
826	2371	2503
827	2375	2501
828	2378	2498
829	2381	2496
830	2384	2493
831	2387	2490
832	2390	2487
833	2393	2485
834	2396	2482
835	2399	2479
836	2402	2476
837	2405	2473
838	2408	2471
839	2411	2469
840	2415	2466
841	2418	2464
842	2421	2461
843	2424	2459
844	2427	2456
845	2431	2454
846	2434	2451
847	2437	2449
848	2441	2447
849	2444	2444
850	2447	2442
851	2450	2439
852	2453	2436
853	2456	2433
854	2460	2431
855	2463	2428
856	2466	2425
857	2469	2423
858	2472	2420
859	2476	2418
860	2480	2416
861	2484	2415
862	2487	2412
863	2490	2409
864	2493	2406
865	2496	2404
866	2499	2401
867	2503	2399
868	2506	2397
869	2509	2393
870	2511	2390
871	2514	2387
872	2516	2384
873	2520	2382
874	2524	2379
